jurisdiction_of_occurrence,non_covid_excess_upto_03/07/2020_per_100k,non_covid_excess_upto_03/14/2020_per_100k,non_covid_excess_upto_03/21/2020_per_100k,non_covid_excess_upto_03/28/2020_per_100k,non_covid_excess_upto_04/04/2020_per_100k,non_covid_excess_upto_04/11/2020_per_100k,non_covid_excess_upto_04/18/2020_per_100k,non_covid_excess_upto_04/25/2020_per_100k,non_covid_excess_upto_05/02/2020_per_100k,non_covid_excess_upto_05/09/2020_per_100k,non_covid_excess_upto_05/16/2020_per_100k,non_covid_excess_upto_05/23/2020_per_100k,non_covid_excess_upto_05/30/2020_per_100k,non_covid_excess_upto_06/06/2020_per_100k,non_covid_excess_upto_06/13/2020_per_100k,non_covid_excess_upto_06/20/2020_per_100k,non_covid_excess_upto_06/27/2020_per_100k,non_covid_excess_upto_07/04/2020_per_100k,non_covid_excess_upto_07/11/2020_per_100k,non_covid_excess_upto_07/18/2020_per_100k,non_covid_excess_upto_07/25/2020_per_100k,non_covid_excess_upto_08/01/2020_per_100k
Pennsylvania,-0.37251724556271126,-0.7137446405842545,-0.3579421813886799,-1.5049123974014211,-1.7127539792955941,-0.5392421117096564,0.6356736270526016,2.47482970029218,4.369137380503983,5.506088785723808,6.752660045662255,7.746136691592842,7.524000936542669,7.678874989859231,7.455367296306846,6.832009883527988,7.127525407641872,6.829076626933349,7.3448972453153045,8.754516769027248,9.156365415395568,9.622440322345726
Puerto Rico,1.6375310880826512,3.8260069181439285,5.249629641894462,7.721229194851759,11.454384365484321,12.511495377560138,14.188954806842263,15.508001182687837,15.7849563846395,16.27873924984773,17.639550249682568,17.876388793770975,18.294929385902627,19.61369324334855,21.424921922972153,21.702347959987254,23.632655280402183,23.69014603857249,23.356923225281495,24.42947820037055,25.912899234184426,27.29913628233237
Rhode Island,2.452400434916691,5.979476050843983,5.242452856368505,6.052087481494248,6.392782067978885,7.5616559534246655,8.071275444818331,7.2394753976310415,6.974054516752497,7.368268354919756,14.071935462095254,13.749572404590886,13.92172241116018,15.947201058452334,16.307003145476806,16.536855978659304,17.954697858613518,17.71199756571486,15.184482944544534,15.338095938064523,14.829411937582883,13.794275234343779
South Carolina,1.0051125685708249,3.687522418937932,5.906270374226441,7.81618995749929,8.745542061885422,9.7739597819806,12.626516314006786,14.291761613580674,15.01478930145634,16.159590081343886,17.72072132795999,19.91289363877792,21.367956844990086,22.879282742672814,24.326848740073434,26.96813301442249,28.588051171133518,31.095333153360656,34.36513427328717,38.257338786247516,43.16398243921255,45.85705119896165
South Dakota,-0.41150035787624867,2.152828468441001,2.4479867791860794,2.0153347547139657,1.3766257432992117,1.8482769588325683,-0.09981094985084304,-1.1804392727045006,2.314358345161161,0.446104473313393,1.8898407641186952,2.0146528985597056,3.5345834401899765,4.1399784332509455,3.0932410280305254,2.7090390652343572,3.813661641037608,4.408137276066542,5.497067864289944,5.741510426284794,7.291692099537624,8.081992412945366
Tennessee,0.10880609886970304,1.9779173048288876,3.8829565276746165,5.0253018251823685,5.939058497847624,7.064930242748348,7.48500688312911,8.93951164149428,9.402262619228862,10.324701414832036,11.069488583065757,12.816907182456951,15.15731747326371,15.788098155413268,16.346761304748966,17.978134080322512,20.074423767618747,22.290472919895993,23.30260056471454,25.466248147498206,28.24861786295534,31.263288957457114
Texas,0.03026345997666005,-0.0024873822803691617,0.33506440909073726,1.0576914011814071,1.949576285486976,2.5108076565790625,3.072906342189807,3.808579000239835,5.105772586655901,5.725592709515756,6.709137178394959,7.554621548803742,8.655344240726834,9.251580241284591,10.08837313266287,11.579802906953336,13.179838781929007,14.678115935971121,16.442914947683743,19.322851121157584,22.343578579759946,24.953674092468017
Utah,0.0631959559525548,0.20801478441419113,1.048118513098614,1.663149598971231,2.5863816411938387,3.5200611434847784,3.5146860734469003,3.5091755048730606,4.85658463821794,5.020492034448162,4.547509093449625,5.22010679396697,4.630741222588268,4.7126192507015245,5.4765948339829515,5.819133211128388,6.601519869498595,6.897752083283402,9.000090080935795,9.745097637851073,11.054450177061218,12.669670283242956
Vermont,4.079860601665037,2.3915523900543207,5.190253412452694,11.161854562778684,10.04943230535051,12.26983693720867,13.30552013388693,15.975165959364094,14.734852163946002,15.897180121187793,16.963651763808468,18.60700678255279,18.3592862005969,23.015282111929757,26.4856422846367,25.75739335214883,23.234091370572052,27.37694187853849,23.860631091024047,28.35620153002763,25.80053185110168,28.18069700732837
Virginia,-0.08009599854284637,1.0501313689027472,2.161644915257729,3.2143618405557874,5.057881673219042,6.077354110638463,8.596098693961846,10.013106772429158,11.867191992573755,13.386489919422662,14.788729127188931,16.424153286385526,17.255016598373125,17.904064534422808,18.88892424723683,19.944303106625682,19.772567867610572,21.7274623737592,23.0770828712628,25.212339296194585,26.3576047482366,28.202550932831798
Washington,-0.5319946567819862,-0.301202430459917,-0.4842838924967362,-0.8654219292113559,-0.0037541659631952218,0.24589908605892766,1.0067061668650956,1.3935783889332567,2.4669298443492913,1.9941457513037122,2.405244545831558,2.197094029441602,2.7749933807035374,2.086560670355566,1.5115784563697234,1.72772205439832,2.486107002775979,2.437822378356691,2.617149590005466,3.1413618881380554,4.2103482425353524,5.0726689262357665
West Virginia,1.0015269059461551,3.2887478689257827,4.918158618380205,6.325145788226917,8.143000001405534,8.535372353880769,10.78629600979203,7.867990176915842,7.7907986642038205,8.75872897538339,10.364195415927584,13.478743650733039,15.242338309039786,14.850046278981203,13.764610885949121,15.73093567620615,16.112877990935623,18.803817308306336,18.736858717953837,19.752283416181374,21.512207849738484,25.02198342608498
Wisconsin,3.961721117703594,6.215691228414288,7.621060605127674,8.901246496478368,11.033298793471705,13.225732293713435,14.041159873966343,15.31763638725992,15.217980191261889,16.876700013822642,17.502033558964428,17.60037290073148,18.48222849785818,20.2793151789979,21.390532734361194,22.537793364458114,24.49758503269157,25.142821425355873,27.037273039555462,28.34589511850998,29.784565468104873,33.01115018882865
Wyoming,2.20151395667212,-0.3950998070206304,-1.54262215613977,2.6668171915851353,2.622819276655713,8.901619501321495,12.205984391289592,12.506879955850318,16.73794478445372,13.961139020737841,13.294177639866177,15.702897084589887,17.901717037687032,18.371355087077234,22.331758439059726,24.840376372893633,26.17662587681854,27.06269540499315,30.263794301382326,33.77603818029575,36.76993158863334,38.45107457204839
